ThreadId,TimerId,StartTime,EndTime,Depth
120,4673,5176.24152,5176.24753,0
120,4673,5176.24757,5176.25234,0
120,4673,5176.25236,5176.25648,0
120,4673,5176.25651,5176.25978,0
120,4673,5176.25981,5176.26297,0
120,4673,5176.26298,5176.26575,0
120,4673,5176.26579,5176.26918,0
120,4673,5176.2692,5176.27247,0
120,4673,5176.27249,5176.27565,0
120,4673,5176.27566,5176.27889,0
120,4673,5176.27891,5176.28219,0
120,4673,5176.28221,5176.28429,0
120,4673,5176.2843,5176.28634,0
120,4673,5176.28637,5176.29169,0
120,4673,5176.29173,5176.29592,0
120,4673,5176.29595,5176.29912,0
120,4673,5176.29914,5176.30199,0
120,4673,5176.30202,5176.30483,0
120,4673,5176.30485,5176.30703,0
120,4673,5176.30705,5176.30943,0
120,4673,5176.30944,5176.31175,0
120,4673,5176.31176,5176.31451,0
120,4673,5176.31453,5176.31707,0
120,4673,5176.31708,5176.31939,0
120,4673,5176.31941,5176.32212,0
120,4673,5176.32215,5176.3253,0
120,4673,5176.32532,5176.32834,0
120,4673,5176.32888,5176.33259,0
120,4673,5176.33261,5176.33587,0
120,4673,5176.33618,5176.33891,0
120,4673,5176.33894,5176.3421,0
120,4673,5176.34214,5176.34603,0
120,4673,5176.34669,5176.34991,0
120,4673,5176.35059,5176.354,0
120,4673,5176.3547,5176.35796,0
120,4673,5176.35798,5176.36124,0
120,4673,5176.36194,5176.36523,0
120,4673,5176.36525,5176.36842,0
120,4673,5176.36995,5176.37318,0
120,4673,5176.3732,5176.37637,0
120,4673,5176.37707,5176.38029,0
120,4673,5176.38031,5176.38346,0
120,4673,5176.38349,5176.38671,0
120,4673,5176.38741,5176.39065,0
120,4673,5176.39067,5176.39386,0
120,4673,5176.39457,5176.3978,0
120,4673,5176.39782,5176.40095,0
120,4673,5176.40097,5176.40417,0
120,4673,5176.40419,5176.40695,0
120,4673,5176.40697,5176.41019,0
120,4673,5176.41021,5176.41313,0
120,4673,5176.41376,5176.4169,0
120,4673,5176.41692,5176.42003,0
120,4673,5176.42071,5176.42391,0
120,4673,5176.42458,5176.42776,0
120,4673,5176.42778,5176.43071,0
120,4673,5176.43073,5176.4339,0
120,4673,5176.43448,5176.43762,0
120,4673,5176.43832,5176.44153,0
120,4673,5176.44223,5176.44562,0
120,4673,5176.44634,5176.44958,0
120,4673,5176.44961,5176.45272,0
120,4673,5176.45275,5176.45591,0
120,4673,5176.45593,5176.45911,0
120,4673,5176.45979,5176.46255,0
120,4673,5176.46322,5176.4666,0
120,4673,5176.46662,5176.46986,0
120,4673,5176.46987,5176.4735,0
120,4673,5176.47412,5176.47718,0
120,4673,5176.47719,5176.48031,0
120,4673,5176.48034,5176.4835,0
120,4673,5176.48354,5176.48674,0
120,4673,5176.48677,5176.49,0
120,4673,5176.49002,5176.49319,0
120,4673,5176.49322,5176.49613,0
