ThreadId,TimerId,StartTime,EndTime,Depth
358,4696,7238.22285,7248.60291,1
358,4696,7248.60292,7259.21893,1
358,4696,7259.21893,7268.76889,1
358,4696,7268.7689,7276.56787,1
358,4696,7276.56788,7284.65785,1
358,4696,7284.65786,7293.59132,1
358,4696,7293.59133,7301.46618,1
358,4696,7301.46618,7310.0766,1
358,4696,7310.0766,7317.92102,1
358,4696,7317.92102,7326.23519,1
358,4696,7326.23519,7333.98808,1
358,4696,7333.98808,7342.46188,1
358,4696,7342.46188,7350.75851,1
358,4696,7350.75852,7359.2942,1
358,4696,7359.2942,7367.47322,1
358,4696,7367.47322,7376.00899,1
358,4696,7376.00899,7383.96243,1
358,4696,7383.96243,7391.90994,1
358,4696,7391.90994,7400.12653,1
358,4696,7400.12653,7408.04167,1
358,4696,7408.04168,7416.42109,1
358,4696,7416.4211,7424.25089,1
358,4696,7424.25089,7432.18253,1
358,4696,7432.18254,7439.74387,1
358,4696,7439.74388,7447.95195,1
358,4696,7447.95195,7456.20614,1
358,4696,7456.20614,7464.68939,1
