ThreadId,TimerId,StartTime,EndTime,Depth
171,4673,5241.55075,5241.55346,0
171,4673,5241.55348,5241.55607,0
171,4673,5241.5561,5241.57766,0
171,4673,5241.57769,5241.58019,0
171,4673,5241.58021,5241.5828,0
171,4673,5241.58284,5241.61397,0
171,4673,5241.61399,5241.61604,0
171,4673,5241.61605,5241.64204,0
171,4673,5241.64351,5241.64673,0
171,4673,5241.64954,5241.65303,0
171,4673,5241.65306,5241.68181,0
171,4673,5241.68335,5241.68749,0
171,4673,5241.68751,5241.72372,0
171,4673,5241.72536,5241.75907,0
171,4673,5241.7591,5241.76255,0
171,4673,5241.76258,5241.7658,0
171,4673,5241.76657,5241.80515,0
171,4673,5241.80587,5241.83856,0
171,4673,5241.8402,5241.84362,0
171,4673,5241.84367,5241.87861,0
171,4673,5241.88063,5241.88367,0
171,4673,5241.88427,5241.88697,0
171,4673,5241.887,5241.92465,0
171,4673,5241.92529,5241.92849,0
171,4673,5241.92912,5241.93307,0
171,4673,5241.93365,5241.937,0
171,4673,5241.93702,5241.97253,0
171,4673,5241.97257,5242.00879,0
171,4673,5242.01001,5242.01293,0
171,4673,5242.01297,5242.05017,0
171,4673,5242.05153,5242.0558,0
171,4673,5242.05671,5242.06071,0
171,4673,5242.06388,5242.09887,0
171,4673,5242.09953,5242.10397,0
171,4673,5242.1072,5242.14284,0
171,4673,5242.14286,5242.1795,0
171,4673,5242.17954,5242.21615,0
171,4673,5242.2184,5242.22154,0
171,4673,5242.23009,5242.23415,0
171,4673,5242.2363,5242.23961,0
171,4673,5242.24456,5242.24872,0
171,4673,5242.24874,5242.25192,0
171,4673,5242.25194,5242.25505,0
171,4673,5242.25507,5242.28618,0
171,4673,5242.28621,5242.28931,0
171,4673,5242.29831,5242.32753,0
171,4673,5242.33453,5242.36532,0
171,4673,5242.36535,5242.36844,0
171,4673,5242.37007,5242.37328,0
171,4673,5242.37331,5242.37595,0
171,4673,5242.37598,5242.37999,0
171,4673,5242.38172,5242.38485,0
171,4673,5242.38487,5242.38802,0
171,4673,5242.38804,5242.39122,0
171,4673,5242.39125,5242.42916,0
171,4673,5242.43034,5242.43365,0
171,4673,5242.43367,5242.47339,0
171,4673,5242.47587,5242.479,0
171,4673,5242.47944,5242.48258,0
171,4673,5242.48261,5242.4868,0
171,4673,5242.48682,5242.49105,0
171,4673,5242.49263,5242.52625,0
171,4673,5242.52627,5242.53051,0
171,4673,5242.53357,5242.53782,0
171,4673,5242.53784,5242.54097,0
171,4673,5242.54164,5242.54468,0
171,4673,5242.5447,5242.54779,0
171,4673,5242.54783,5242.55103,0
171,4673,5242.55176,5242.55496,0
171,4673,5242.55574,5242.55889,0
171,4673,5242.55891,5242.5621,0
171,4673,5242.56211,5242.56528,0
171,4673,5242.5739,5242.57712,0
171,4673,5242.5778,5242.58102,0
171,4673,5242.58104,5242.61578,0
171,4673,5242.61582,5242.6501,0
171,4673,5242.65012,5242.65328,0
171,4673,5242.65552,5242.65978,0
171,4673,5242.65981,5242.66384,0
171,4673,5242.66386,5242.66773,0
171,4673,5242.6695,5242.70321,0
171,4673,5242.70324,5242.73702,0
171,4673,5242.74176,5242.74608,0
171,4673,5242.7461,5242.75016,0
171,4673,5242.75323,5242.75599,0
171,4673,5242.75601,5242.76012,0
171,4673,5242.76014,5242.76439,0
171,4673,5242.76523,5242.76859,0
171,4673,5242.76862,5242.77277,0
171,4673,5242.77526,5242.77834,0
171,4673,5242.77837,5242.78097,0
171,4673,5242.78099,5242.78417,0
171,4673,5242.78534,5242.78933,0
171,4673,5242.79013,5242.79359,0
171,4673,5242.79426,5242.7975,0
171,4673,5242.79753,5242.80081,0
171,4673,5242.80084,5242.80424,0
171,4673,5242.80426,5242.80746,0
171,4673,5242.81695,5242.82032,0
171,4673,5242.82035,5242.82442,0
171,4673,5242.82445,5242.82722,0
171,4673,5242.82725,5242.83037,0
171,4673,5242.8304,5242.83336,0
171,4673,5242.83339,5242.83607,0
171,4673,5242.8361,5242.83929,0
171,4673,5242.83931,5242.84333,0
171,4673,5242.8441,5242.84733,0
171,4673,5242.84736,5242.84984,0
171,4673,5242.84987,5242.85407,0
171,4673,5242.85409,5242.85723,0
171,4673,5242.85797,5242.86116,0
171,4673,5242.86259,5242.86579,0
171,4673,5242.86652,5242.86989,0
171,4673,5242.87058,5242.87374,0
171,4673,5242.87514,5242.87857,0
171,4673,5242.87861,5242.88175,0
171,4673,5242.8825,5242.88569,0
171,4673,5242.88711,5242.89034,0
171,4673,5242.89105,5242.89424,0
171,4673,5242.89494,5242.8982,0
171,4673,5242.89823,5242.90147,0
171,4673,5242.90149,5242.90464,0
171,4673,5242.90467,5242.90785,0
171,4673,5242.90788,5242.91121,0
171,4673,5242.91256,5242.9162,0
171,4673,5242.91759,5242.9205,0
171,4673,5242.92052,5242.92371,0
171,4673,5242.92373,5242.92693,0
171,4673,5242.92768,5242.93095,0
171,4673,5242.93099,5242.93425,0
171,4673,5242.93428,5242.93748,0
171,4673,5242.9375,5242.94061,0
171,4673,5242.94063,5242.94378,0
171,4673,5242.94381,5242.94709,0
171,4673,5242.94711,5242.95036,0
171,4673,5242.95039,5242.9534,0
171,4673,5242.95344,5242.95661,0
171,4673,5242.95664,5242.95928,0
171,4673,5242.95931,5242.96309,0
171,4673,5242.96316,5242.96622,0
171,4673,5242.9663,5242.9691,0
171,4673,5242.96912,5242.9723,0
171,4673,5242.97233,5242.97588,0
171,4673,5242.97592,5242.97945,0
171,4673,5242.97948,5242.98253,0
171,4673,5242.98255,5242.98563,0
171,4673,5242.98566,5242.98834,0
171,4673,5242.98837,5242.99101,0
171,4673,5242.99105,5242.9943,0
171,4673,5242.99574,5242.99903,0
171,4673,5242.99907,5243.00249,0
171,4673,5243.00329,5243.00657,0
171,4673,5243.00745,5243.01024,0
171,4673,5243.01108,5243.01409,0
171,4673,5243.01412,5243.01713,0
171,4673,5243.01791,5243.02118,0
171,4673,5243.02198,5243.02525,0
171,4673,5243.02603,5243.02928,0
171,4673,5243.02934,5243.03259,0
171,4673,5243.03264,5243.03599,0
171,4673,5243.03602,5243.03909,0
171,4673,5243.03913,5243.04225,0
171,4673,5243.04231,5243.04549,0
171,4673,5243.04622,5243.04948,0
171,4673,5243.05023,5243.05366,0
171,4673,5243.05448,5243.05777,0
171,4673,5243.05855,5243.06179,0
171,4673,5243.06335,5243.06651,0
171,4673,5243.06654,5243.06928,0
171,4673,5243.06935,5243.07254,0
171,4673,5243.0726,5243.07587,0
171,4673,5243.07592,5243.07936,0
171,4673,5243.07941,5243.08267,0
171,4673,5243.0827,5243.08596,0
171,4673,5243.08598,5243.08923,0
171,4673,5243.08928,5243.09283,0
171,4673,5243.09286,5243.09605,0
171,4673,5243.0961,5243.09942,0
171,4673,5243.09947,5243.10282,0
171,4673,5243.10285,5243.10606,0
171,4673,5243.10612,5243.10938,0
171,4673,5243.10941,5243.11271,0
171,4673,5243.11276,5243.11622,0
171,4673,5243.11628,5243.1196,0
171,4673,5243.11967,5243.12313,0
171,4673,5243.12321,5243.12592,0
171,4673,5243.12599,5243.12914,0
171,4673,5243.1292,5243.13245,0
171,4673,5243.13326,5243.13604,0
171,4673,5243.1361,5243.13928,0
171,4673,5243.14025,5243.14321,0
171,4673,5243.14328,5243.14622,0
171,4673,5243.14627,5243.14967,0
171,4673,5243.15058,5243.15365,0
171,4673,5243.15374,5243.15632,0
171,4673,5243.15689,5243.15956,0
171,4673,5243.15965,5243.16298,0
171,4673,5243.16389,5243.16709,0
171,4673,5243.16805,5243.17057,0
171,4673,5243.17063,5243.17314,0
171,4673,5243.17319,5243.17601,0
171,4673,5243.17606,5243.17904,0
171,4673,5243.1791,5243.18247,0
171,4673,5243.18252,5243.18587,0
171,4673,5243.18679,5243.1903,0
171,4673,5243.19037,5243.19387,0
171,4673,5243.19393,5243.19756,0
171,4673,5243.19761,5243.20103,0
171,4673,5243.20107,5243.20347,0
171,4673,5243.20356,5243.20598,0
171,4673,5243.20651,5243.20912,0
171,4673,5243.21232,5243.2158,0
171,4673,5243.21588,5243.2192,0
171,4673,5243.21928,5243.22217,0
171,4673,5243.22223,5243.22447,0
171,4673,5243.22451,5243.22731,0
171,4673,5243.22736,5243.22956,0
171,4673,5243.22964,5243.23315,0
171,4673,5243.23323,5243.23676,0
171,4673,5243.23681,5243.23957,0
171,4673,5243.23966,5243.24235,0
171,4673,5243.24241,5243.24529,0
171,4673,5243.24533,5243.24871,0
171,4673,5243.24876,5243.2523,0
171,4673,5243.25233,5243.25485,0
171,4673,5243.25489,5243.25763,0
171,4673,5243.25767,5243.26134,0
171,4673,5243.26139,5243.26506,0
171,4673,5243.26511,5243.26905,0
171,4673,5243.26911,5243.27279,0
171,4673,5243.27285,5243.27665,0
171,4673,5243.27671,5243.28066,0
172,4673,5241.55075,5241.554,0
172,4673,5241.55401,5241.5572,0
172,4673,5241.55723,5241.57906,0
172,4673,5241.57909,5241.61012,0
172,4673,5241.61015,5241.61328,0
172,4673,5241.61331,5241.61597,0
172,4673,5241.61599,5241.61857,0
172,4673,5241.61859,5241.64529,0
172,4673,5241.64531,5241.64859,0
172,4673,5241.64931,5241.65319,0
172,4673,5241.65321,5241.68269,0
172,4673,5241.68272,5241.68526,0
172,4673,5241.68529,5241.68836,0
172,4673,5241.68839,5241.69261,0
172,4673,5241.69345,5241.69655,0
172,4673,5241.69656,5241.69918,0
172,4673,5241.69922,5241.73063,0
172,4673,5241.73066,5241.73381,0
172,4673,5241.73491,5241.73752,0
172,4673,5241.73753,5241.741,0
172,4673,5241.74102,5241.74519,0
172,4673,5241.74759,5241.78111,0
172,4673,5241.78297,5241.81641,0
172,4673,5241.81884,5241.85292,0
172,4673,5241.8538,5241.85692,0
172,4673,5241.85697,5241.89415,0
172,4673,5241.89418,5241.92875,0
172,4673,5241.92877,5241.93177,0
172,4673,5241.93245,5241.93672,0
172,4673,5241.94325,5241.97692,0
172,4673,5241.98379,5242.01942,0
172,4673,5242.02295,5242.05915,0
172,4673,5242.05918,5242.0913,0
172,4673,5242.09772,5242.13183,0
172,4673,5242.13262,5242.13573,0
172,4673,5242.14235,5242.17863,0
172,4673,5242.18085,5242.21823,0
172,4673,5242.21899,5242.25717,0
172,4673,5242.25797,5242.26153,0
172,4673,5242.26218,5242.26538,0
172,4673,5242.27088,5242.27503,0
172,4673,5242.27506,5242.27819,0
172,4673,5242.28406,5242.28819,0
172,4673,5242.28822,5242.29255,0
172,4673,5242.29258,5242.32003,0
172,4673,5242.32772,5242.36034,0
172,4673,5242.36141,5242.39494,0
172,4673,5242.39497,5242.43304,0
172,4673,5242.43307,5242.43736,0
172,4673,5242.44127,5242.47942,0
172,4673,5242.47944,5242.48266,0
172,4673,5242.48267,5242.48701,0
172,4673,5242.48702,5242.49016,0
172,4673,5242.49019,5242.49456,0
172,4673,5242.49459,5242.49791,0
172,4673,5242.49794,5242.50147,0
172,4673,5242.50155,5242.50489,0
172,4673,5242.50661,5242.51106,0
172,4673,5242.5111,5242.51428,0
172,4673,5242.51786,5242.52167,0
172,4673,5242.52355,5242.52713,0
172,4673,5242.52988,5242.53342,0
172,4673,5242.53344,5242.53693,0
172,4673,5242.53695,5242.54015,0
172,4673,5242.54081,5242.54413,0
172,4673,5242.54582,5242.5489,0
172,4673,5242.5499,5242.5531,0
172,4673,5242.55378,5242.55719,0
172,4673,5242.55721,5242.56036,0
172,4673,5242.56038,5242.56363,0
172,4673,5242.56366,5242.56688,0
172,4673,5242.56691,5242.57073,0
172,4673,5242.57076,5242.57502,0
172,4673,5242.57571,5242.57903,0
172,4673,5242.57971,5242.5829,0
172,4673,5242.58292,5242.6176,0
172,4673,5242.61763,5242.64923,0
172,4673,5242.66046,5242.66353,0
172,4673,5242.66421,5242.66731,0
172,4673,5242.669,5242.70392,0
172,4673,5242.70395,5242.70703,0
172,4673,5242.70782,5242.71102,0
172,4673,5242.71373,5242.71708,0
172,4673,5242.71711,5242.75208,0
172,4673,5242.75211,5242.7553,0
172,4673,5242.75533,5242.75926,0
172,4673,5242.75929,5242.7902,0
172,4673,5242.7909,5242.79415,0
172,4673,5242.79417,5242.79741,0
172,4673,5242.79854,5242.80182,0
172,4673,5242.80185,5242.80505,0
172,4673,5242.80508,5242.80823,0
172,4673,5242.80826,5242.81136,0
172,4673,5242.8114,5242.81508,0
172,4673,5242.81511,5242.81889,0
172,4673,5242.82316,5242.82574,0
172,4673,5242.82577,5242.82872,0
172,4673,5242.82874,5242.83186,0
172,4673,5242.83189,5242.83489,0
