ThreadId,TimerId,StartTime,EndTime,Depth
78,4321,52.3481019,52.3767597,1
78,4321,52.38114,52.3838052,1
78,4321,52.3839394,52.4034305,1
78,4321,52.4080654,52.41108,1
78,4321,52.4111907,52.4136813,1
78,4321,52.4137573,52.4284823,1
78,4321,52.4339071,52.4380479,1
78,4321,52.4381814,52.4414989,1
78,4321,52.441629,52.4593529,1
78,4321,52.4670029,52.4693167,1
78,4321,52.4694304,52.4722392,1
78,4321,52.4723643,52.4758339,1
78,4321,52.4759667,52.4792652,1
78,4321,52.5222543,52.5488711,1
78,4321,52.5668355,52.5700078,1
78,4321,52.5701777,52.5962172,1
78,4321,52.6251725,52.6441175,1
78,4321,52.6734831,52.6967744,1
78,4321,52.7020258,52.7058686,1
78,4321,52.7155079,52.7372708,1
78,4321,52.7478724,52.7704736,1
78,4321,52.7813664,52.7846203,1
78,4321,52.7847555,52.7872345,1
78,4321,52.7873457,52.7903579,1
78,4321,52.7904965,52.7942856,1
78,4321,52.7944099,52.7982901,1
78,4321,52.7984252,52.8016464,1
78,4321,52.8017585,52.8050838,1
78,4321,52.8058694,52.8089479,1
78,4321,52.8173312,52.820461,1
78,4321,52.8206073,52.824974,1
78,4321,52.8251663,52.828662,1
78,4321,52.8288068,52.8328033,1
78,4321,52.8329269,52.8361336,1
78,4321,52.8375886,52.84081,1
78,4321,52.840939,52.8450026,1
78,4321,52.8452134,52.8646748,1
78,4321,52.8751266,52.8995175,1
78,4321,52.9146835,52.9177896,1
78,4321,52.9213585,52.9245376,1
78,4321,52.9246726,52.9454254,1
78,4321,52.9582177,52.9607192,1
78,4321,52.960825,52.9634276,1
78,4321,52.9635725,52.9820173,1
78,4321,52.9923793,52.9958677,1
78,4321,52.9959971,52.9986958,1
78,4321,53.0258527,53.0281507,1
78,4321,53.0286495,53.0310412,1
78,4321,53.0311183,53.033613,1
78,4321,53.0336971,53.0371204,1
78,4321,53.0401544,53.0441618,1
78,4321,53.0442928,53.0477746,1
78,4321,53.0483,53.0505673,1
78,4321,53.0512167,53.0537736,1
78,4321,53.0603407,53.0633128,1
78,4321,53.0634172,53.0653808,1
78,4321,53.065453,53.0684298,1
78,4321,53.0692861,53.0725898,1
78,4321,53.0733836,53.076598,1
78,4321,53.0767399,53.0794713,1
78,4321,53.0825245,53.0851354,1
78,4321,53.086173,53.0884776,1
78,4321,53.0885757,53.090986,1
78,4321,53.0910918,53.0939813,1
78,4321,53.0941377,53.0966992,1
78,4321,53.0968015,53.0988263,1
78,4321,53.0989019,53.1009939,1
78,4321,53.1011019,53.1041164,1
78,4321,53.1042389,53.1072496,1
78,4321,53.1081287,53.111691,1
78,4321,53.1118318,53.1153126,1
78,4321,53.1154344,53.1178682,1
78,4321,53.1183999,53.1210938,1
78,4321,53.1212269,53.1241528,1
78,4321,53.1246811,53.1268034,1
78,4321,53.1268923,53.1289723,1
78,4321,53.1290438,53.1313,1
78,4321,53.1314151,53.1338491,1
78,4321,53.1343824,53.1367501,1
78,4321,53.1383852,53.1415392,1
78,4321,53.1421727,53.1445877,1
78,4321,53.1446652,53.1479443,1
78,4321,53.1488764,53.1510063,1
78,4321,53.1510841,53.1538539,1
78,4321,53.1547865,53.1579466,1
78,4321,53.1586807,53.1614999,1
78,4321,53.1620828,53.1643717,1
78,4321,53.1644704,53.1669845,1
78,4321,53.1671276,53.1701131,1
78,4321,53.1712089,53.1744558,1
78,4321,53.1751879,53.1782074,1
78,4321,53.1790463,53.1822046,1
78,4321,53.1823465,53.1850013,1
78,4321,53.1851336,53.1885229,1
78,4321,53.1886637,53.1920818,1
78,4321,53.1922176,53.1955463,1
78,4321,53.1956842,53.1988912,1
78,4321,53.1990379,53.2025365,1
78,4321,53.2026746,53.2057372,1
78,4321,53.2058122,53.208653,1
78,4321,53.2087825,53.2110668,1
78,4321,53.2111572,53.2137905,1
78,4321,53.2138828,53.2162877,1
78,4321,53.2163773,53.2195142,1
78,4321,53.2196259,53.2228923,1
78,4321,53.2230141,53.2263181,1
78,4321,53.2264337,53.2296557,1
78,4321,53.2297661,53.2332987,1
78,4321,53.2334109,53.2358472,1
78,4321,53.2359745,53.2390621,1
78,4321,53.2394311,53.2426099,1
78,4321,53.2427303,53.2450859,1
78,4321,53.2452166,53.2477895,1
78,4321,53.2484257,53.2516266,1
78,4321,53.2524702,53.2556414,1
