ThreadId,TimerId,StartTime,EndTime,Depth
78,4310,47.4280439,47.4533184,0
78,4310,47.4533772,47.455906,0
78,4310,47.4559261,47.4732729,0
78,4310,47.4733114,47.4762037,0
78,4310,47.4762248,47.4793356,0
78,4310,47.4793544,47.4982042,0
78,4310,47.4982491,47.5153971,0
78,4310,47.5154339,47.5174742,0
78,4310,47.5174937,47.519562,0
78,4310,47.5195931,47.5224196,0
78,4310,47.5224424,47.5257783,0
78,4310,47.5310315,47.5337194,0
78,4310,47.5337487,47.557495,0
78,4310,47.5575203,47.5607689,0
78,4310,47.5889184,47.5927978,0
78,4310,47.5928339,47.6202751,0
78,4310,47.6257304,47.6290473,0
78,4310,47.6317668,47.635845,0
78,4310,47.6622246,47.6654298,0
78,4310,47.6654537,47.6686982,0
78,4310,47.6687237,47.6725377,0
78,4310,47.6725665,47.6757117,0
78,4310,47.6968671,47.7006317,0
78,4310,47.7006662,47.7225612,0
78,4310,47.7342514,47.7574519,0
78,4310,47.761321,47.7649688,0
78,4310,47.7650025,47.7691602,0
78,4310,47.7691819,47.7729785,0
78,4310,47.7766658,47.7799372,0
78,4310,47.7806458,47.7838313,0
78,4310,47.7838803,47.7874495,0
78,4310,47.7874743,47.7906025,0
78,4310,47.7906314,47.7938102,0
78,4310,47.8000266,47.8035684,0
78,4310,47.8036094,47.8059803,0
78,4310,47.8079891,47.8105338,0
78,4310,47.8109982,47.8132324,0
78,4310,47.8132425,47.8152932,0
78,4310,47.8153149,47.8178769,0
78,4310,47.8179056,47.8421871,0
78,4310,47.8422349,47.846466,0
78,4310,47.8464868,47.8764679,0
78,4310,47.8795992,47.8823068,0
78,4310,47.8823359,47.902538,0
78,4310,47.9139328,47.9173006,0
78,4310,47.9173208,47.9422433,0
78,4310,47.9448433,47.9476179,0
78,4310,47.9476324,47.9496423,0
78,4310,47.9500676,47.9519986,0
78,4310,47.9520108,47.9545181,0
78,4310,47.9545428,47.9575865,0
78,4310,47.965973,47.9687115,0
78,4310,47.9693594,47.97274,0
78,4310,47.97623,47.9792599,0
78,4310,47.9792809,47.9815185,0
78,4310,47.9815281,47.9840137,0
78,4310,47.9840242,47.9875764,0
78,4310,47.9915146,47.993977,0
78,4310,47.9940056,47.9965534,0
78,4310,47.9965724,47.9998903,0
78,4310,47.9999099,48.0028131,0
78,4310,48.0028338,48.006323,0
78,4310,48.0063454,48.0088932,0
78,4310,48.009907,48.0122407,0
78,4310,48.0132465,48.0153641,0
78,4310,48.0246849,48.0269473,0
78,4310,48.0269615,48.0293573,0
78,4310,48.0293724,48.0320535,0
78,4310,48.0320882,48.0346737,0
78,4310,48.0347011,48.0374047,0
78,4310,48.0374351,48.0395407,0
78,4310,48.0395553,48.0417162,0
78,4310,48.041729,48.0438901,0
78,4310,48.0439069,48.0462561,0
78,4310,48.0469324,48.0496948,0
78,4310,48.049714,48.0520397,0
78,4310,48.0520656,48.0552126,0
78,4310,48.0558669,48.0594356,0
78,4310,48.0601645,48.0629288,0
78,4310,48.0629449,48.0654344,0
78,4310,48.0654517,48.0681851,0
78,4310,48.0682148,48.0708202,0
78,4310,48.0715948,48.0752276,0
78,4310,48.0760209,48.0789709,0
78,4310,48.079005,48.0822047,0
78,4310,48.0828975,48.0865797,0
78,4310,48.0866051,48.090179,0
78,4310,48.0909276,48.0944487,0
78,4310,48.0951477,48.0978622,0
78,4310,48.0985434,48.1006562,0
78,4310,48.1011085,48.1031406,0
78,4310,48.1031563,48.1050785,0
78,4310,48.1050914,48.1080095,0
78,4310,48.1085906,48.1116516,0
78,4310,48.1121392,48.1147567,0
78,4310,48.1151986,48.1172904,0
78,4310,48.1173034,48.119243,0
78,4310,48.1192531,48.1213455,0
78,4310,48.1213563,48.1238432,0
78,4310,48.1238751,48.1263006,0
78,4310,48.1263297,48.1300753,0
78,4310,48.1301059,48.132181,0
78,4310,48.1321976,48.1349655,0
78,4310,48.1349843,48.1374543,0
78,4310,48.1374641,48.140159,0
78,4310,48.1401866,48.1433128,0
78,4310,48.143342,48.1464722,0
78,4310,48.1464902,48.1499161,0
78,4310,48.1499377,48.1534692,0
78,4310,48.1534853,48.1564192,0
78,4310,48.1564502,48.1599246,0
78,4310,48.1599489,48.1633436,0
78,4310,48.16336,48.1670225,0
78,4310,48.1678431,48.1714894,0
78,4310,48.172005,48.1749147,0
78,4310,48.1749417,48.1774718,0
78,4310,48.1790273,48.183249,0
78,4310,48.1838421,48.1862395,0
78,4310,48.1862518,48.1893581,0
78,4310,48.1893833,48.1919762,0
78,4310,48.1919985,48.1955303,0
78,4310,48.1955651,48.1992795,0
78,4310,48.1993,48.2028206,0
78,4310,48.202858,48.2056745,0
78,4310,48.2062098,48.2094475,0
78,4310,48.2116805,48.2157347,0
78,4310,48.2163566,48.2194625,0
78,4310,48.2194934,48.2230294,0
78,4310,48.2237681,48.2273567,0
78,4310,48.2280695,48.230264,0
78,4310,48.2307236,48.2335126,0
78,4310,48.2342586,48.2375154,0
78,4310,48.2375483,48.2408649,0
78,4310,48.241606,48.2452063,0
78,4310,48.246049,48.2488135,0
78,4310,48.248833,48.2512571,0
78,4310,48.2526099,48.2553346,0
78,4310,48.2553611,48.2586059,0
78,4310,48.258641,48.2618847,0
78,4310,48.2619242,48.2644383,0
78,4310,48.2644578,48.2678778,0
78,4310,48.2679071,48.2709739,0
78,4310,48.2709943,48.2734281,0
78,4310,48.2734428,48.275844,0
78,4310,48.2758628,48.2792236,0
78,4310,48.2792521,48.2823228,0
78,4310,48.2823453,48.2853218,0
78,4310,48.2853489,48.2877199,0
78,4310,48.2877329,48.2898562,0
78,4310,48.2898641,48.2922904,0
78,4310,48.2923266,48.294999,0
78,4310,48.2950257,48.2979789,0
78,4310,48.2979995,48.3009459,0
78,4310,48.3009772,48.3031089,0
78,4310,48.3031345,48.3054623,0
78,4310,48.3054902,48.3083741,0
78,4310,48.3083939,48.3106376,0
78,4310,48.3133518,48.315746,0
78,4310,48.3157748,48.3194148,0
78,4310,48.3209784,48.3234933,0
78,4310,48.3241924,48.3277593,0
78,4310,48.3296221,48.3333903,0
78,4310,48.3340302,48.3363986,0
78,4310,48.3391408,48.3424651,0
78,4310,48.3432124,48.3465034,0
78,4310,48.3465439,48.3489602,0
78,4310,48.3489811,48.3513462,0
78,4310,48.3513783,48.353555,0
78,4310,48.3535962,48.3561692,0
