ThreadId,TimerId,StartTime,EndTime,Depth
78,4308,89.4871595,89.4897219,1
78,4308,89.4900536,89.4924031,1
78,4308,89.4924961,89.5069883,1
78,4308,89.5095409,89.5237434,1
78,4308,89.5262183,89.5285878,1
78,4308,89.5286962,89.5428979,1
78,4308,89.5457812,89.5485366,1
78,4308,89.5486252,89.5510822,1
78,4308,89.551157,89.5532908,1
78,4308,89.553361,89.5671138,1
78,4308,89.5694931,89.571544,1
78,4308,89.5716402,89.5742573,1
78,4308,89.5743334,89.5917552,1
78,4308,89.5947074,89.5972164,1
78,4308,89.5973662,89.6154108,1
78,4308,89.6284586,89.6326312,1
78,4308,89.6354193,89.6606754,1
78,4308,89.6733952,89.676745,1
78,4308,89.6768911,89.7032412,1
78,4308,89.7140964,89.7173206,1
78,4308,89.7174686,89.7209399,1
78,4308,89.7210568,89.7238709,1
78,4308,89.7239689,89.7269812,1
78,4308,89.7271487,89.7310149,1
78,4308,89.7540683,89.7729566,1
78,4308,89.7791977,89.7811962,1
78,4308,89.7812924,89.7846276,1
78,4308,89.7847787,89.7870742,1
78,4308,89.7903623,89.7943047,1
78,4308,89.7944422,89.7973598,1
78,4308,89.7987056,89.8012565,1
78,4308,89.8013452,89.8040515,1
78,4308,89.8042531,89.8081544,1
78,4308,89.8082677,89.8123425,1
78,4308,89.8173619,89.8205378,1
78,4308,89.8247939,89.8278149,1
78,4308,89.829681,89.8329945,1
78,4308,89.8331198,89.836101,1
78,4308,89.8362335,89.8401644,1
78,4308,89.8403066,89.8432454,1
78,4308,89.8433577,89.8463114,1
78,4308,89.8464407,89.8501817,1
78,4308,89.8503067,89.853326,1
78,4308,89.8539732,89.8568061,1
78,4308,89.8569325,89.859999,1
78,4308,89.8601111,89.8819242,1
78,4308,89.8878111,89.9071999,1
78,4308,89.9162601,89.9194351,1
78,4308,89.9195412,89.9380698,1
78,4308,89.9500348,89.9532068,1
78,4308,89.9533448,89.9736833,1
78,4308,89.9842715,89.9877359,1
78,4308,89.9879031,89.9910342,1
78,4308,89.9916633,89.9941631,1
78,4308,89.9942905,89.9976055,1
78,4308,90.0056674,90.0087743,1
78,4308,90.0096007,90.0126982,1
78,4308,90.0135651,90.01666,1
78,4308,90.0184953,90.0219443,1
78,4308,90.0220509,90.0267509,1
78,4308,90.0268803,90.0308032,1
78,4308,90.0313544,90.0336287,1
78,4308,90.0374087,90.0405606,1
78,4308,90.040638,90.0436831,1
78,4308,90.0438074,90.0463283,1
78,4308,90.0464332,90.0485898,1
78,4308,90.0493434,90.0517306,1
78,4308,90.0522174,90.054855,1
78,4308,90.0549757,90.058135,1
78,4308,90.064232,90.0678295,1
78,4308,90.0679419,90.0713069,1
78,4308,90.0714377,90.0749218,1
78,4308,90.0750462,90.0781071,1
78,4308,90.0782276,90.0812998,1
78,4308,90.0814144,90.0836647,1
78,4308,90.0837389,90.0857496,1
78,4308,90.0858297,90.0880185,1
78,4308,90.0890044,90.0921603,1
78,4308,90.0923102,90.0948318,1
78,4308,90.0949214,90.0968331,1
78,4308,90.0973249,90.0993687,1
78,4308,90.099462,90.1014104,1
78,4308,90.1019965,90.105054,1
78,4308,90.1051907,90.1079342,1
78,4308,90.1080687,90.1107202,1
78,4308,90.111271,90.1135617,1
78,4308,90.1141463,90.116312,1
78,4308,90.1168197,90.1191812,1
78,4308,90.1193023,90.1220148,1
78,4308,90.1225288,90.125168,1
78,4308,90.1252963,90.1274521,1
78,4308,90.128019,90.1306298,1
78,4308,90.1307161,90.1326914,1
78,4308,90.1331988,90.1358963,1
78,4308,90.1366108,90.1400448,1
78,4308,90.1408767,90.1440596,1
78,4308,90.1442108,90.1479294,1
78,4308,90.1480381,90.1515114,1
78,4308,90.1523888,90.1549024,1
78,4308,90.1554828,90.1580239,1
78,4308,90.1587972,90.1617515,1
78,4308,90.1618901,90.1653502,1
