ThreadId,TimerId,StartTime,EndTime,Depth
65,4175,42.2924344,42.2971954,2
65,4175,42.2974188,42.3042646,2
65,4175,42.3045576,42.3089824,2
65,4175,42.3091365,42.3135766,2
65,4175,42.3137408,42.3181151,2
65,4175,42.3182791,42.3228245,2
65,4175,42.3229717,42.3274993,2
65,4175,42.327644,42.3323625,2
65,4175,42.3325406,42.33697,2
65,4175,42.3371451,42.3419961,2
65,4175,42.3421028,42.347104,2
65,4175,42.3472656,42.351914,2
65,4175,42.3520803,42.356544,2
65,4175,42.3567057,42.3605582,2
65,4175,42.3607315,42.3650831,2
65,4175,42.3652565,42.3694637,2
65,4175,42.3696282,42.3740434,2
65,4175,42.3741663,42.3794689,2
65,4175,42.3796461,42.383964,2
65,4175,42.3840739,42.3887239,2
65,4175,42.388893,42.3931879,2
65,4175,42.393302,42.3970858,2
65,4175,42.3972678,42.4018744,2
65,4175,42.4020727,42.4066872,2
65,4175,42.4068524,42.4113669,2
65,4175,42.4115343,42.4161015,2
65,4175,42.4162783,42.4211692,2
